"","X1","Squirrel","date","ODBA","Feed","Forage","NestMove","notmoving","Sleep","Travel","Deploy"
"1",1,"B10",2015-04-24,485188.47,18776,29950,746,23079,10653,3196,"April 2015 Week 1"
"2",2,"B10",2015-04-25,506745.73,17154,30492,1092,24837,9258,3567,"April 2015 Week 1"
"3",3,"B10",2015-04-26,473740.7,18588,29263,973,23250,11087,3239,"April 2015 Week 1"
"4",4,"B10",2015-04-27,496695.96,19638,29722,754,23950,8726,3610,"April 2015 Week 1"
"5",5,"B10",2015-04-28,486284.12,18646,28252,787,22978,11964,3773,"April 2015 Week 1"
"6",6,"B10",2015-04-29,526666.32,17721,32112,414,23386,8795,3972,"April 2015 Week 1"
"7",7,"B10",2015-04-30,504959.1,16669,29649,1167,22741,12102,4072,"April 2015 Week 1"
"8",1,"B6",2015-04-24,344775.01,15215,21558,2855,2822,42295,1655,"April 2015 Week 1"
"9",2,"B6",2015-04-25,375052.49,17131,22983,2510,6247,35394,2135,"April 2015 Week 1"
"10",3,"B6",2015-04-26,384772.22,16619,22463,3688,2420,38682,2528,"April 2015 Week 1"
"11",4,"B6",2015-04-27,419250.77,16541,25174,2590,2282,36488,3325,"April 2015 Week 1"
"12",5,"B6",2015-04-28,319698.19,15859,16240,5801,1750,45149,1601,"April 2015 Week 1"
"13",6,"B6",2015-04-29,430935.7,18853,25155,2721,4140,32243,3288,"April 2015 Week 1"
"14",7,"B6",2015-04-30,386585.9,15549,22973,3210,6801,35302,2565,"April 2015 Week 1"
"15",1,"D17",2015-04-24,351323.09,27730,15610,5464,11310,24314,1972,"April 2015 Week 1"
"16",2,"D17",2015-04-25,357706.51,30043,15820,3774,10683,23907,2173,"April 2015 Week 1"
"17",3,"D17",2015-04-26,343891.2,29570,15564,4811,6364,28292,1799,"April 2015 Week 1"
"18",4,"D17",2015-04-27,376168.33,28111,18033,4293,11820,22198,1945,"April 2015 Week 1"
"19",5,"D17",2015-04-28,366017.46,29322,16682,3699,16347,17979,2371,"April 2015 Week 1"
"20",6,"D17",2015-04-29,424637.5,30584,19956,2591,12710,17411,3148,"April 2015 Week 1"
"21",7,"D17",2015-04-30,350428.41,30049,15233,4806,7013,27085,2214,"April 2015 Week 1"
"22",1,"D2",2015-04-24,363115.36,21974,19437,5380,4500,33126,1983,"April 2015 Week 1"
"23",2,"D2",2015-04-25,397093.6,21625,22126,5996,1503,32944,2206,"April 2015 Week 1"
"24",3,"D2",2015-04-26,372767.22,22138,19655,5470,1595,35360,2182,"April 2015 Week 1"
"25",4,"D2",2015-04-27,422085.69,22973,24178,4317,1653,30693,2586,"April 2015 Week 1"
"26",5,"D2",2015-04-28,412821.65,28723,21238,2889,9313,21493,2744,"April 2015 Week 1"
"27",6,"D2",2015-04-29,395584.82,26488,21615,2668,9513,23768,2348,"April 2015 Week 1"
"28",7,"D2",2015-04-30,406778.55,27329,21613,3623,12425,18876,2534,"April 2015 Week 1"
"29",1,"E1",2015-04-24,464205.75,14862,27911,3294,4077,32306,3950,"April 2015 Week 1"
"30",2,"E1",2015-04-25,434237.96,13038,26267,3862,2692,36968,3573,"April 2015 Week 1"
"31",3,"E1",2015-04-26,381614.46,16578,23282,3176,3332,37254,2778,"April 2015 Week 1"
"32",4,"E1",2015-04-27,454052.69,15352,25990,3265,3593,34165,4035,"April 2015 Week 1"
"33",5,"E1",2015-04-28,486464.79,16901,25966,3596,3189,32314,4434,"April 2015 Week 1"
"34",6,"E1",2015-04-29,541634.29,14929,31463,2296,2567,29834,5311,"April 2015 Week 1"
"35",7,"E1",2015-04-30,474678.32,17148,27082,3294,4711,29846,4319,"April 2015 Week 1"
"36",1,"E5",2015-05-01,330419.82,28185,17942,2532,5186,31153,1402,"April 2015 Week 1"
"37",2,"E5",2015-05-02,321019.75,29810,15398,3966,6171,29409,1646,"April 2015 Week 1"
"38",3,"E5",2015-05-03,377793.12,29541,20850,2035,9435,22570,1969,"April 2015 Week 1"
"39",4,"E5",2015-05-04,330977.46,27957,17083,2790,11182,25619,1769,"April 2015 Week 1"
"40",5,"E5",2015-05-05,339751.97,28575,16466,1938,15249,22127,2045,"April 2015 Week 1"
"41",6,"E5",2015-05-06,362082.35,28771,18779,2980,11639,22046,2185,"April 2015 Week 1"
"42",7,"E5",2015-05-07,397212.22,28946,20145,1601,11337,21473,2898,"April 2015 Week 1"
"43",8,"E5",2015-05-08,398673.59,28528,20886,1398,14249,18513,2826,"April 2015 Week 1"
"44",9,"E5",2015-05-09,371409.87,24964,19139,2457,12911,24352,2577,"April 2015 Week 1"
"45",1,"F1",2015-04-24,369959.97,24831,18324,3669,4455,32643,2478,"April 2015 Week 1"
"46",2,"F1",2015-04-25,369496.06,22687,19000,4981,7296,30275,2161,"April 2015 Week 1"
"47",3,"F1",2015-04-26,387846.76,23851,19909,3764,9106,27244,2526,"April 2015 Week 1"
"48",4,"F1",2015-04-27,393692.44,25060,19781,2984,8884,26960,2731,"April 2015 Week 1"
"49",5,"F1",2015-04-28,348383.3,26899,16420,3761,13950,23313,2057,"April 2015 Week 1"
"50",6,"F1",2015-04-29,354766,23485,16779,5337,8958,29625,2216,"April 2015 Week 1"
"51",7,"F1",2015-04-30,371915.51,24368,17856,4050,10281,27477,2368,"April 2015 Week 1"
"52",1,"F6",2015-04-24,363969.74,19753,20334,4595,2169,37382,2167,"April 2015 Week 1"
"53",2,"F6",2015-04-25,452774.46,18551,25618,3620,2269,32717,3625,"April 2015 Week 1"
