1,9:41 am ↑ (137°),3:56 pm ↑ (223°),6:14:36,-3:28,12:49 pm (7.5°),91.655
2,9:43 am ↑ (138°),3:55 pm ↑ (222°),6:11:15,-3:21,12:49 pm (7.4°),91.641
3,9:45 am ↑ (138°),3:53 pm ↑ (222°),6:08:01,-3:13,12:50 pm (7.2°),91.627
4,9:47 am ↑ (139°),3:52 pm ↑ (221°),6:04:56,-3:05,12:50 pm (7.1°),91.613
5,9:49 am ↑ (139°),3:51 pm ↑ (221°),6:02:00,-2:56,12:50 pm (7.0°),91.600
6,9:51 am ↑ (139°),3:50 pm ↑ (221°),5:59:12,-2:47,12:51 pm (6.8°),91.587
7,9:53 am ↑ (140°),3:49 pm ↑ (220°),5:56:33,-2:38,12:51 pm (6.7°),91.575
8,9:55 am ↑ (140°),3:49 pm ↑ (220°),5:54:04,-2:29,12:52 pm (6.6°),91.563
9,9:56 am ↑ (140°),3:48 pm ↑ (220°),5:51:44,-2:19,12:52 pm (6.5°),91.551
10,9:58 am ↑ (140°),3:47 pm ↑ (219°),5:49:35,-2:09,12:53 pm (6.5°),91.539
11,9:59 am ↑ (141°),3:47 pm ↑ (219°),5:47:36,-1:59,12:53 pm (6.4°),91.528
12,10:01 am ↑ (141°),3:46 pm ↑ (219°),5:45:47,-1:48,12:54 pm (6.3°),91.517
13,10:02 am ↑ (141°),3:46 pm ↑ (219°),5:44:09,-1:37,12:54 pm (6.2°),91.506
14,10:03 am ↑ (141°),3:46 pm ↑ (219°),5:42:42,-1:27,12:55 pm (6.2°),91.496
15,10:04 am ↑ (141°),3:46 pm ↑ (218°),5:41:26,-1:16,12:55 pm (6.1°),91.486
16,10:05 am ↑ (142°),3:46 pm ↑ (218°),5:40:21,-1:04,12:55 pm (6.1°),91.477
17,10:06 am ↑ (142°),3:46 pm ↑ (218°),5:39:28,-0:53,12:56 pm (6.0°),91.468
18,10:07 am ↑ (142°),3:46 pm ↑ (218°),5:38:46,-0:41,12:56 pm (6.0°),91.460
19,10:08 am ↑ (142°),3:46 pm ↑ (218°),5:38:16,-0:30,12:57 pm (6.0°),91.452
20,10:08 am ↑ (142°),3:46 pm ↑ (218°),5:37:58,-0:18,12:57 pm (6.0°),91.445
21,10:09 am ↑ (142°),3:47 pm ↑ (218°),5:37:51,-0:06,12:58 pm (6.0°),91.439
22,10:09 am ↑ (142°),3:47 pm ↑ (218°),5:37:57,+0:05,12:58 pm (6.0°),91.433
23,10:10 am ↑ (142°),3:48 pm ↑ (218°),5:38:14,+0:17,12:59 pm (6.0°),91.427
24,10:10 am ↑ (142°),3:49 pm ↑ (218°),5:38:42,+0:28,12:59 pm (6.0°),91.423
25,10:10 am ↑ (142°),3:50 pm ↑ (218°),5:39:23,+0:40,1:00 pm (6.0°),91.418
26,10:10 am ↑ (142°),3:51 pm ↑ (218°),5:40:15,+0:52,1:00 pm (6.1°),91.415
27,10:10 am ↑ (142°),3:52 pm ↑ (219°),5:41:19,+1:03,1:01 pm (6.1°),91.412
28,10:10 am ↑ (141°),3:53 pm ↑ (219°),5:42:33,+1:14,1:01 pm (6.2°),91.409
29,10:10 am ↑ (141°),3:54 pm ↑ (219°),5:44:00,+1:26,1:02 pm (6.2°),91.407
30,10:10 am ↑ (141°),3:55 pm ↑ (219°),5:45:37,+1:37,1:02 pm (6.3°),91.406
31,10:09 am ↑ (141°),3:57 pm ↑ (219°),5:47:25,+1:47,1:03 pm (6.4°),91.405
