1,9:17 am ↑ (125°),5:11 pm ↑ (235°),7:53:58,+5:09,1:13 pm (12.4°),91.601
2,9:14 am ↑ (124°),5:13 pm ↑ (236°),7:59:10,+5:12,1:13 pm (12.7°),91.615
3,9:12 am ↑ (123°),5:16 pm ↑ (237°),8:04:24,+5:14,1:14 pm (13.0°),91.629
4,9:09 am ↑ (123°),5:19 pm ↑ (238°),8:09:41,+5:16,1:14 pm (13.3°),91.644
5,9:07 am ↑ (122°),5:22 pm ↑ (238°),8:14:59,+5:18,1:14 pm (13.6°),91.659
6,9:04 am ↑ (121°),5:24 pm ↑ (239°),8:20:19,+5:20,1:14 pm (13.9°),91.674
7,9:01 am ↑ (121°),5:27 pm ↑ (240°),8:25:41,+5:21,1:14 pm (14.2°),91.690
8,8:59 am ↑ (120°),5:30 pm ↑ (240°),8:31:04,+5:23,1:14 pm (14.5°),91.707
9,8:56 am ↑ (119°),5:33 pm ↑ (241°),8:36:29,+5:24,1:14 pm (14.9°),91.724
10,8:53 am ↑ (118°),5:35 pm ↑ (242°),8:41:55,+5:25,1:14 pm (15.2°),91.741
11,8:51 am ↑ (118°),5:38 pm ↑ (243°),8:47:22,+5:27,1:14 pm (15.5°),91.758
12,8:48 am ↑ (117°),5:41 pm ↑ (243°),8:52:50,+5:28,1:14 pm (15.9°),91.776
13,8:45 am ↑ (116°),5:44 pm ↑ (244°),8:58:20,+5:29,1:14 pm (16.2°),91.794
14,8:42 am ↑ (115°),5:46 pm ↑ (245°),9:03:50,+5:30,1:14 pm (16.5°),91.812
15,8:40 am ↑ (115°),5:49 pm ↑ (246°),9:09:21,+5:31,1:14 pm (16.9°),91.830
16,8:37 am ↑ (114°),5:52 pm ↑ (246°),9:14:53,+5:31,1:14 pm (17.2°),91.849
17,8:34 am ↑ (113°),5:54 pm ↑ (247°),9:20:25,+5:32,1:14 pm (17.6°),91.868
18,8:31 am ↑ (112°),5:57 pm ↑ (248°),9:25:59,+5:33,1:14 pm (17.9°),91.887
19,8:28 am ↑ (112°),6:00 pm ↑ (249°),9:31:33,+5:33,1:13 pm (18.3°),91.906
20,8:25 am ↑ (111°),6:03 pm ↑ (249°),9:37:07,+5:34,1:13 pm (18.6°),91.925
21,8:22 am ↑ (110°),6:05 pm ↑ (250°),9:42:42,+5:34,1:13 pm (19.0°),91.945
22,8:20 am ↑ (109°),6:08 pm ↑ (251°),9:48:17,+5:35,1:13 pm (19.4°),91.965
23,8:17 am ↑ (109°),6:11 pm ↑ (252°),9:53:53,+5:35,1:13 pm (19.7°),91.985
24,8:14 am ↑ (108°),6:13 pm ↑ (253°),9:59:29,+5:36,1:13 pm (20.1°),92.006
25,8:11 am ↑ (107°),6:16 pm ↑ (253°),10:05:05,+5:36,1:13 pm (20.5°),92.027
26,8:08 am ↑ (106°),6:18 pm ↑ (254°),10:10:42,+5:36,1:13 pm (20.8°),92.048
27,8:05 am ↑ (105°),6:21 pm ↑ (255°),10:16:19,+5:36,1:12 pm (21.2°),92.069
28,8:02 am ↑ (105°),6:24 pm ↑ (256°),10:21:55,+5:36,1:12 pm (21.6°),92.091
