1,10:09 am ↑ (140°),3:59 pm ↑ (220°),5:49:54,+2:01,1:03 pm (6.5°),91.403
2,10:08 am ↑ (140°),4:00 pm ↑ (220°),5:52:06,+2:11,1:04 pm (6.6°),91.402
3,10:07 am ↑ (140°),4:02 pm ↑ (220°),5:54:27,+2:21,1:04 pm (6.6°),91.402
4,10:06 am ↑ (140°),4:03 pm ↑ (220°),5:56:58,+2:31,1:05 pm (6.8°),91.403
5,10:06 am ↑ (139°),4:05 pm ↑ (221°),5:59:39,+2:40,1:05 pm (6.9°),91.404
6,10:05 am ↑ (139°),4:07 pm ↑ (221°),6:02:29,+2:49,1:06 pm (7.0°),91.406
7,10:04 am ↑ (139°),4:09 pm ↑ (221°),6:05:27,+2:58,1:06 pm (7.1°),91.408
8,10:02 am ↑ (138°),4:11 pm ↑ (222°),6:08:35,+3:07,1:07 pm (7.2°),91.411
9,10:01 am ↑ (138°),4:13 pm ↑ (222°),6:11:51,+3:15,1:07 pm (7.4°),91.415
10,10:00 am ↑ (137°),4:15 pm ↑ (223°),6:15:14,+3:23,1:07 pm (7.5°),91.418
11,9:59 am ↑ (137°),4:17 pm ↑ (223°),6:18:46,+3:31,1:08 pm (7.7°),91.423
12,9:57 am ↑ (137°),4:20 pm ↑ (224°),6:22:24,+3:38,1:08 pm (7.8°),91.427
13,9:56 am ↑ (136°),4:22 pm ↑ (224°),6:26:10,+3:45,1:09 pm (8.0°),91.432
14,9:54 am ↑ (136°),4:24 pm ↑ (225°),6:30:03,+3:52,1:09 pm (8.2°),91.438
15,9:53 am ↑ (135°),4:27 pm ↑ (225°),6:34:02,+3:59,1:09 pm (8.4°),91.443
16,9:51 am ↑ (135°),4:29 pm ↑ (226°),6:38:07,+4:05,1:10 pm (8.6°),91.449
17,9:49 am ↑ (134°),4:31 pm ↑ (226°),6:42:18,+4:11,1:10 pm (8.8°),91.456
18,9:47 am ↑ (133°),4:34 pm ↑ (227°),6:46:35,+4:16,1:10 pm (9.0°),91.463
19,9:45 am ↑ (133°),4:36 pm ↑ (227°),6:50:57,+4:22,1:11 pm (9.2°),91.470
20,9:43 am ↑ (132°),4:39 pm ↑ (228°),6:55:24,+4:27,1:11 pm (9.4°),91.477
21,9:41 am ↑ (132°),4:41 pm ↑ (228°),6:59:56,+4:31,1:11 pm (9.6°),91.485
22,9:39 am ↑ (131°),4:44 pm ↑ (229°),7:04:33,+4:36,1:11 pm (9.8°),91.493
23,9:37 am ↑ (131°),4:47 pm ↑ (230°),7:09:14,+4:40,1:12 pm (10.1°),91.502
24,9:35 am ↑ (130°),4:49 pm ↑ (230°),7:13:58,+4:44,1:12 pm (10.3°),91.511
25,9:33 am ↑ (129°),4:52 pm ↑ (231°),7:18:47,+4:48,1:12 pm (10.6°),91.520
26,9:31 am ↑ (129°),4:55 pm ↑ (231°),7:23:40,+4:52,1:12 pm (10.8°),91.530
27,9:29 am ↑ (128°),4:57 pm ↑ (232°),7:28:35,+4:55,1:13 pm (11.1°),91.541
28,9:26 am ↑ (127°),5:00 pm ↑ (233°),7:33:34,+4:58,1:13 pm (11.3°),91.552
29,9:24 am ↑ (127°),5:03 pm ↑ (233°),7:38:36,+5:01,1:13 pm (11.6°),91.563
30,9:22 am ↑ (126°),5:05 pm ↑ (234°),7:43:41,+5:04,1:13 pm (11.9°),91.575
31,9:19 am ↑ (125°),5:08 pm ↑ (235°),7:48:48,+5:07,1:13 pm (12.1°),91.588
