1,7:59 am ↑ (104°),6:26 pm ↑ (257°),10:27:33,+5:37,1:12 pm (22.0°),92.114
2,7:56 am ↑ (103°),6:29 pm ↑ (257°),10:33:10,+5:37,1:12 pm (22.3°),92.137
3,7:53 am ↑ (102°),6:32 pm ↑ (258°),10:38:47,+5:37,1:12 pm (22.7°),92.160
4,7:50 am ↑ (101°),6:34 pm ↑ (259°),10:44:25,+5:37,1:11 pm (23.1°),92.183
5,7:47 am ↑ (101°),6:37 pm ↑ (260°),10:50:03,+5:37,1:11 pm (23.5°),92.207
6,7:44 am ↑ (100°),6:39 pm ↑ (261°),10:55:41,+5:37,1:11 pm (23.9°),92.231
7,7:41 am ↑ (99°),6:42 pm ↑ (261°),11:01:19,+5:37,1:11 pm (24.3°),92.256
8,7:38 am ↑ (98°),6:45 pm ↑ (262°),11:06:56,+5:37,1:10 pm (24.7°),92.280
9,7:34 am ↑ (97°),6:47 pm ↑ (263°),11:12:35,+5:38,1:10 pm (25.1°),92.305
10,7:31 am ↑ (97°),6:50 pm ↑ (264°),11:18:13,+5:38,1:10 pm (25.4°),92.330
11,8:28 am ↑ (96°),7:52 pm ↑ (265°),11:23:51,+5:38,2:10 pm (25.8°),92.355
12,8:25 am ↑ (95°),7:55 pm ↑ (265°),11:29:29,+5:38,2:09 pm (26.2°),92.381
13,8:22 am ↑ (94°),7:57 pm ↑ (266°),11:35:07,+5:38,2:09 pm (26.6°),92.406
14,8:19 am ↑ (93°),8:00 pm ↑ (267°),11:40:46,+5:38,2:09 pm (27.0°),92.432
15,8:16 am ↑ (93°),8:02 pm ↑ (268°),11:46:24,+5:38,2:09 pm (27.4°),92.457
16,8:13 am ↑ (92°),8:05 pm ↑ (269°),11:52:02,+5:38,2:08 pm (27.8°),92.483
17,8:10 am ↑ (91°),8:07 pm ↑ (269°),11:57:40,+5:38,2:08 pm (28.2°),92.508
18,8:07 am ↑ (90°),8:10 pm ↑ (270°),12:03:19,+5:38,2:08 pm (28.6°),92.534
19,8:04 am ↑ (89°),8:13 pm ↑ (271°),12:08:57,+5:38,2:07 pm (29.0°),92.559
20,8:01 am ↑ (89°),8:15 pm ↑ (272°),12:14:35,+5:38,2:07 pm (29.4°),92.585
21,7:57 am ↑ (88°),8:18 pm ↑ (273°),12:20:13,+5:38,2:07 pm (29.8°),92.610
22,7:54 am ↑ (87°),8:20 pm ↑ (273°),12:25:51,+5:38,2:06 pm (30.2°),92.636
23,7:51 am ↑ (86°),8:23 pm ↑ (274°),12:31:30,+5:38,2:06 pm (30.6°),92.662
24,7:48 am ↑ (85°),8:25 pm ↑ (275°),12:37:08,+5:38,2:06 pm (31.0°),92.687
25,7:45 am ↑ (85°),8:28 pm ↑ (276°),12:42:46,+5:38,2:06 pm (31.4°),92.713
26,7:42 am ↑ (84°),8:30 pm ↑ (277°),12:48:24,+5:37,2:05 pm (31.7°),92.739
27,7:39 am ↑ (83°),8:33 pm ↑ (278°),12:54:02,+5:38,2:05 pm (32.1°),92.765
28,7:36 am ↑ (82°),8:35 pm ↑ (278°),12:59:39,+5:37,2:05 pm (32.5°),92.791
29,7:32 am ↑ (81°),8:38 pm ↑ (279°),13:05:17,+5:37,2:04 pm (32.9°),92.817
30,7:29 am ↑ (81°),8:40 pm ↑ (280°),13:10:55,+5:37,2:04 pm (33.3°),92.844
31,7:26 am ↑ (80°),8:43 pm ↑ (281°),13:16:33,+5:37,2:04 pm (33.7°),92.870
