1,5:53 am ↑ (56°),10:02 pm ↑ (305°),16:09:01,+5:24,1:57 pm (44.6°),93.666
2,5:50 am ↑ (55°),10:05 pm ↑ (305°),16:14:24,+5:23,1:57 pm (44.8°),93.690
3,5:48 am ↑ (54°),10:07 pm ↑ (306°),16:19:46,+5:21,1:57 pm (45.1°),93.713
4,5:45 am ↑ (54°),10:10 pm ↑ (307°),16:25:06,+5:20,1:56 pm (45.4°),93.737
5,5:42 am ↑ (53°),10:12 pm ↑ (307°),16:30:25,+5:18,1:56 pm (45.7°),93.760
6,5:39 am ↑ (52°),10:15 pm ↑ (308°),16:35:42,+5:17,1:56 pm (46.0°),93.783
7,5:37 am ↑ (52°),10:18 pm ↑ (309°),16:40:57,+5:15,1:56 pm (46.3°),93.806
8,5:34 am ↑ (51°),10:20 pm ↑ (309°),16:46:11,+5:13,1:56 pm (46.5°),93.828
9,5:31 am ↑ (50°),10:23 pm ↑ (310°),16:51:22,+5:11,1:56 pm (46.8°),93.851
10,5:29 am ↑ (50°),10:25 pm ↑ (311°),16:56:31,+5:09,1:56 pm (47.1°),93.873
11,5:26 am ↑ (49°),10:28 pm ↑ (311°),17:01:38,+5:06,1:56 pm (47.3°),93.894
12,5:24 am ↑ (48°),10:30 pm ↑ (312°),17:06:42,+5:04,1:56 pm (47.6°),93.916
13,5:21 am ↑ (48°),10:33 pm ↑ (313°),17:11:44,+5:01,1:56 pm (47.8°),93.936
14,5:19 am ↑ (47°),10:35 pm ↑ (313°),17:16:42,+4:58,1:56 pm (48.1°),93.957
15,5:16 am ↑ (46°),10:38 pm ↑ (314°),17:21:38,+4:55,1:56 pm (48.3°),93.977
16,5:14 am ↑ (46°),10:40 pm ↑ (315°),17:26:30,+4:52,1:56 pm (48.5°),93.997
17,5:11 am ↑ (45°),10:43 pm ↑ (315°),17:31:19,+4:48,1:56 pm (48.8°),94.016
18,5:09 am ↑ (45°),10:45 pm ↑ (316°),17:36:04,+4:45,1:56 pm (49.0°),94.035
19,5:07 am ↑ (44°),10:47 pm ↑ (316°),17:40:45,+4:41,1:56 pm (49.2°),94.053
20,5:04 am ↑ (43°),10:50 pm ↑ (317°),17:45:22,+4:36,1:56 pm (49.4°),94.071
21,5:02 am ↑ (43°),10:52 pm ↑ (318°),17:49:55,+4:32,1:56 pm (49.6°),94.088
22,5:00 am ↑ (42°),10:54 pm ↑ (318°),17:54:23,+4:28,1:56 pm (49.8°),94.106
23,4:58 am ↑ (42°),10:57 pm ↑ (319°),17:58:46,+4:22,1:56 pm (50.0°),94.123
24,4:56 am ↑ (41°),10:59 pm ↑ (319°),18:03:04,+4:18,1:57 pm (50.2°),94.139
25,4:54 am ↑ (41°),11:01 pm ↑ (320°),18:07:16,+4:12,1:57 pm (50.3°),94.156
26,4:52 am ↑ (40°),11:03 pm ↑ (320°),18:11:23,+4:06,1:57 pm (50.5°),94.172
27,4:50 am ↑ (40°),11:05 pm ↑ (321°),18:15:24,+4:00,1:57 pm (50.7°),94.187
28,4:48 am ↑ (39°),11:07 pm ↑ (321°),18:19:19,+3:54,1:57 pm (50.8°),94.203
29,4:46 am ↑ (39°),11:09 pm ↑ (322°),18:23:07,+3:48,1:57 pm (51.0°),94.218
30,4:45 am ↑ (38°),11:11 pm ↑ (322°),18:26:48,+3:41,1:57 pm (51.1°),94.234
31,4:43 am ↑ (38°),11:13 pm ↑ (323°),18:30:22,+3:33,1:57 pm (51.3°),94.248
