1,9:26 am ↑ (119°),6:00 pm ↑ (241°),8:34:05,-5:21,1:43 pm (14.7°),92.251
2,9:28 am ↑ (120°),5:57 pm ↑ (240°),8:28:44,-5:20,1:43 pm (14.4°),92.228
3,9:31 am ↑ (121°),5:55 pm ↑ (239°),8:23:25,-5:18,1:43 pm (14.1°),92.205
4,8:34 am ↑ (121°),4:52 pm ↑ (238°),8:18:08,-5:17,12:43 pm (13.8°),92.182
5,8:36 am ↑ (122°),4:49 pm ↑ (238°),8:12:52,-5:15,12:43 pm (13.5°),92.159
6,8:39 am ↑ (123°),4:47 pm ↑ (237°),8:07:38,-5:14,12:43 pm (13.2°),92.136
7,8:42 am ↑ (123°),4:44 pm ↑ (236°),8:02:25,-5:12,12:43 pm (12.9°),92.113
8,8:44 am ↑ (124°),4:42 pm ↑ (236°),7:57:15,-5:10,12:43 pm (12.6°),92.091
9,8:47 am ↑ (125°),4:39 pm ↑ (235°),7:52:06,-5:08,12:44 pm (12.3°),92.068
10,8:50 am ↑ (125°),4:37 pm ↑ (234°),7:47:00,-5:06,12:44 pm (12.1°),92.046
11,8:52 am ↑ (126°),4:34 pm ↑ (234°),7:41:57,-5:03,12:44 pm (11.8°),92.024
12,8:55 am ↑ (127°),4:32 pm ↑ (233°),7:36:56,-5:01,12:44 pm (11.5°),92.002
13,8:58 am ↑ (127°),4:30 pm ↑ (232°),7:31:57,-4:58,12:44 pm (11.2°),91.980
14,9:00 am ↑ (128°),4:27 pm ↑ (232°),7:27:02,-4:55,12:44 pm (11.0°),91.959
15,9:03 am ↑ (129°),4:25 pm ↑ (231°),7:22:10,-4:52,12:44 pm (10.7°),91.938
16,9:06 am ↑ (129°),4:23 pm ↑ (230°),7:17:21,-4:48,12:45 pm (10.5°),91.917
17,9:08 am ↑ (130°),4:21 pm ↑ (230°),7:12:36,-4:45,12:45 pm (10.2°),91.896
18,9:11 am ↑ (131°),4:19 pm ↑ (229°),7:07:55,-4:41,12:45 pm (10.0°),91.876
19,9:13 am ↑ (131°),4:16 pm ↑ (229°),7:03:18,-4:37,12:45 pm (9.8°),91.856
20,9:16 am ↑ (132°),4:14 pm ↑ (228°),6:58:45,-4:33,12:45 pm (9.6°),91.837
21,9:18 am ↑ (132°),4:12 pm ↑ (227°),6:54:16,-4:28,12:46 pm (9.3°),91.818
22,9:21 am ↑ (133°),4:11 pm ↑ (227°),6:49:52,-4:23,12:46 pm (9.1°),91.800
23,9:23 am ↑ (133°),4:09 pm ↑ (226°),6:45:33,-4:18,12:46 pm (8.9°),91.782
24,9:26 am ↑ (134°),4:07 pm ↑ (226°),6:41:20,-4:13,12:46 pm (8.7°),91.764
25,9:28 am ↑ (135°),4:05 pm ↑ (225°),6:37:12,-4:08,12:47 pm (8.5°),91.747
26,9:30 am ↑ (135°),4:03 pm ↑ (225°),6:33:10,-4:02,12:47 pm (8.3°),91.731
27,9:33 am ↑ (136°),4:02 pm ↑ (224°),6:29:14,-3:56,12:47 pm (8.2°),91.715
28,9:35 am ↑ (136°),4:00 pm ↑ (224°),6:25:24,-3:49,12:48 pm (8.0°),91.699
29,9:37 am ↑ (136°),3:59 pm ↑ (223°),6:21:41,-3:43,12:48 pm (7.8°),91.684
30,9:39 am ↑ (137°),3:57 pm ↑ (223°),6:18:05,-3:36,12:48 pm (7.7°),91.669
