1,8:06 am ↑ (95°),7:31 pm ↑ (264°),11:24:36,-5:33,1:49 pm (25.9°),93.055
2,8:09 am ↑ (96°),7:28 pm ↑ (264°),11:19:03,-5:33,1:49 pm (25.5°),93.029
3,8:11 am ↑ (97°),7:25 pm ↑ (263°),11:13:30,-5:33,1:49 pm (25.1°),93.003
4,8:14 am ↑ (98°),7:22 pm ↑ (262°),11:07:57,-5:33,1:48 pm (24.7°),92.977
5,8:16 am ↑ (99°),7:19 pm ↑ (261°),11:02:24,-5:33,1:48 pm (24.4°),92.950
6,8:19 am ↑ (99°),7:16 pm ↑ (260°),10:56:51,-5:32,1:48 pm (24.0°),92.924
7,8:21 am ↑ (100°),7:12 pm ↑ (260°),10:51:18,-5:33,1:47 pm (23.6°),92.898
8,8:24 am ↑ (101°),7:09 pm ↑ (259°),10:45:45,-5:33,1:47 pm (23.2°),92.871
9,8:26 am ↑ (102°),7:06 pm ↑ (258°),10:40:12,-5:32,1:47 pm (22.8°),92.844
10,8:29 am ↑ (102°),7:03 pm ↑ (257°),10:34:39,-5:32,1:47 pm (22.5°),92.818
11,8:31 am ↑ (103°),7:00 pm ↑ (256°),10:29:06,-5:32,1:46 pm (22.1°),92.791
12,8:34 am ↑ (104°),6:57 pm ↑ (256°),10:23:34,-5:32,1:46 pm (21.7°),92.764
13,8:36 am ↑ (105°),6:54 pm ↑ (255°),10:18:01,-5:32,1:46 pm (21.3°),92.737
14,8:39 am ↑ (106°),6:51 pm ↑ (254°),10:12:29,-5:32,1:46 pm (21.0°),92.710
15,8:41 am ↑ (106°),6:48 pm ↑ (253°),10:06:57,-5:32,1:45 pm (20.6°),92.683
16,8:44 am ↑ (107°),6:45 pm ↑ (253°),10:01:25,-5:31,1:45 pm (20.2°),92.656
17,8:46 am ↑ (108°),6:42 pm ↑ (252°),9:55:53,-5:31,1:45 pm (19.9°),92.629
18,8:49 am ↑ (109°),6:39 pm ↑ (251°),9:50:22,-5:31,1:45 pm (19.5°),92.602
19,8:52 am ↑ (109°),6:36 pm ↑ (250°),9:44:51,-5:30,1:45 pm (19.1°),92.576
20,8:54 am ↑ (110°),6:34 pm ↑ (249°),9:39:21,-5:30,1:44 pm (18.8°),92.549
21,8:57 am ↑ (111°),6:31 pm ↑ (249°),9:33:51,-5:30,1:44 pm (18.4°),92.523
22,8:59 am ↑ (112°),6:28 pm ↑ (248°),9:28:21,-5:29,1:44 pm (18.1°),92.497
23,9:02 am ↑ (113°),6:25 pm ↑ (247°),9:22:52,-5:28,1:44 pm (17.7°),92.471
24,9:05 am ↑ (113°),6:22 pm ↑ (246°),9:17:24,-5:28,1:44 pm (17.4°),92.446
25,9:07 am ↑ (114°),6:19 pm ↑ (246°),9:11:56,-5:27,1:44 pm (17.0°),92.421
26,9:10 am ↑ (115°),6:16 pm ↑ (245°),9:06:29,-5:27,1:44 pm (16.7°),92.396
27,9:13 am ↑ (116°),6:14 pm ↑ (244°),9:01:03,-5:26,1:44 pm (16.4°),92.371
28,9:15 am ↑ (116°),6:11 pm ↑ (243°),8:55:37,-5:25,1:43 pm (16.0°),92.347
29,9:18 am ↑ (117°),6:08 pm ↑ (243°),8:50:13,-5:24,1:43 pm (15.7°),92.322
30,9:20 am ↑ (118°),6:05 pm ↑ (242°),8:44:49,-5:23,1:43 pm (15.4°),92.299
31,9:23 am ↑ (118°),6:03 pm ↑ (241°),8:39:26,-5:22,1:43 pm (15.0°),92.275
